Sexo,Grupo,Experiencia,Pregunta 1,Preguntas 2,Pregunta 3,Pregunta 4,Pregunta 5
Mujer,Alumno,Media,Que documentación necesito para solicitar la ayuda a la vivienda ,Donde debo apuntarme para recibir información del boletín oficial de Defensa ,Cuanto tiempo de permanencia me exige el cambio de especialidad ,Cuantos puntos necesito para aprobar la permanencia ,Como puedo convalidar mis estudios militares a lo civil 
Hombre,Alumno,Ninguna,¿En que especialidad del cambio de especialidad se estudia más?,¿Se hacen guardias en la academia?,¿Se puede ser externado en la academia?,¿Hay control nocturno en la academia?,¿Se pagan las comidas en la academia?
Hombre,Administración,Poca,Como solicitar transporte con medios de la ACLOG?,Como solicitar autobuses civiles para transporte civil?,Como iniciar un expediente de baja de material?,Como pasar revista de armas particulares?,Como solicitar material no reglamentario MATNOREG?
Hombre,Alumno,Poca,¿Qué material/equipo/uniforme debo de llevar a la ACLOG? ,¿Qué cuadro de mandos/jefes voy a tener cuando llegue a la ACLOG?,"Ante cualquier duda, ¿A quién debo dirigirme?",¿Cuándo puedo presentar el pasaporte/dietas?,¿Qué documentación/fotocopias debo tener a mano en cualquier momento?
Hombre,Alumno,Poca,Que TTS se estudian en la Academia de logística ,Que asignatura tiene cada TTS ,Cuantas horas tiene cada TTS ,"Servicios que tiene la academia. Por ejemplo, gimnasio, pista pádel, lavandería, etc. ",Cómo llegar a la academia y que hay cerca de ella. 
Mujer,Alumno,Media,¿Si no supero el Cambio de especialidad que ocurre? ,¿ Pasos a seguir para solicitar la ayuda a la vivienda?,¿Podré Convalidar algún modulo superado anteriormente? ,¿Si no me gusta mi especialidad puedo causar baja antes de terminarlo? ,"¿Puedo vivir fuera de la academia, que limitación tengo para pernoctar fuera? "
Hombre,Alumno,Poca,Cómo pedir la ayuda a la vivienda ,Zonas que visitar en la comarca de Calatayud ,Horarios de emies,Nombre de mandos y profesores ,"Ayudas que puedo pedir en la aclog y como pedirlas (becas, ayudas, descuentos etc)"
Hombre,Alumno,Media,Que clase tengo mañana?,Dónde voy a salir destinado?,Cuando van a ser las próximas maniobras?,Donde está el aula 212?,Que papeles necesito para solicitar el externado?
Hombre,Profesor,Poca,¿Qué ocurre si doy positivo en el control de drogas (PADET)?,"Soy alumno del Curso de Cambio de Especialidad, ¿si soy sancionado aparece en mi hoja de servicios?",¿Cuándo comienza el plazo de inscripciones para el Procedimiento de Acreditación de Competencias en Aragón?,"Al finalizar el Curso de Cambio de Especialidad, ¿puedo presentarme a exámenes por libre en institutos de Formación Profesional?","Si pido la baja del curso, ¿cuánto dinero debo resarcir al Estado?"
Hombre,Alumno,Poca,"Si tengo en posesión el título que se va a impartir en la academia, ¿Tengo que volver ha estudiarlo?","Si tenemos el módulo entero convalidado, ¿Tenemos que asistir a las clases o podemos quedarnos en las camaretas estudiando otra asignatura, por ejemplo inglés?",¿Se puede vivir fuera de la academia mientras se realiza el curso?,¿Cuáles son los requisitos que necesitamos para poder vivir fuera de la academia mientras se realiza el curso?,"¿Además de la OFAP, donde podemos asistir para acceder a la INTRANET si la OFAP se encuentra cerrada?"
